drug,disease
soy protein isolate,Hypersensitivity
lefamulin,"Pneumonia, Bacterial"
enarodustat,Chronic Kidney Diseases
hirudin,Kidney Diseases
atropine,Congestive heart failure
sodium nitroprusside,Postoperative hypertension
docetaxel,Locally Advanced Malignant Neoplasm
pentoxifylline,Asthenozoospermia
zoledronate,Neoplasms
dexamethasone,Contact Dermatitis
pindolol,Vasovagal syncope
acyclovir,Exanthema
ampicillin,Haemophilus Infections
entacapone,Fluctuation
temoporfin,Squamous cell carcinoma
bupivacaine,"Pain, Intractable"
selegiline hydrochloride,Depressive disorder
chloroquine hydrochloride,Rheumatoid Arthritis
gatifloxacin,Gonorrhea of rectum
rituximab,Bullous Pemphigoid
methylprednisolone,"Anemia, severe"
colchicine,Transient Ischemic Attack
isoxsuprine,Arteriosclerosis
cyproheptadine hydrochloride,Pruritus
erythromycin,Diphtheria
vecuronium,Muscle hypotonia
docetaxel anhydrous,Non-Small Cell Lung Carcinoma
nicotine,Addictive Behavior
terazosin,Prostatic Hypertrophy
clozapine,Sudden death
everolimus,Lymphoma
propofol,Headache
cordycepin,"Diabetes Mellitus, Non-Insulin-Dependent"
mycophenolate mofetil,Flare
lithium hydroxide monohydrate,Conduct Disorder
melatonin,Coronary Arteriosclerosis
isosorbide dinitrate,Exercise-induced angina
Prenalterol,Heart failure
hydrocortisone,Allergic rhinitis (disorder)
gentamicin,"Burns, External"
Fluoropyrimidine,Malignant neoplasm of breast
selegiline,Major Depressive Disorder
levoleucovorin,Methotrexate Overdosage
ezetimibe,"Diabetes Mellitus, Non-Insulin-Dependent"
thalidomide,"Tuberculosis, Central Nervous System"
vitamin A,Malnutrition
dolutegravir,HIV Infections
doxorubicin,Malignant Childhood Neoplasm
zileuton,Allergic asthma
metronidazole,Inflammatory Bowel Diseases
argipressin,Central Diabetes Insipidus
tacrolimus,Post transplant diabetes mellitus
isosorbide mononitrate,Fibrosis
hydrocortisone,Sweating
methotrexate,Placenta Increta
oxygen,"Diabetes Mellitus, Insulin-Dependent"
phenindamine tartrate,"Rhinitis, Allergic, Perennial"
medroxyprogesterone acetate,Endometrial Hyperplasia
taurine,Epilepsy
lenalidomide,Recurrent Chronic Lymphoid Leukemia
methotrexate,Adenocarcinoma
isosorbide dinitrate,Myocardial Ischemia
Rolipram,Experimental Autoimmune Encephalomyelitis
talimogene laherparepvec,Melanoma
ticagrelor,Diabetes Mellitus
fluoxetine,Irritable Bowel Syndrome
triprolidine,Common Cold
nifedipine,Exercise-induced angina
Histone deacetylase inhibitor,Carcinoma
cefotetan disodium,Streptococcal Infections
lithium,Bipolar I disorder
daptomycin,Right-sided Staphylococcus aureus endocarditis
piperacillin,Haemophilus influenzae pneumonia
temozolomide,Pituitary carcinoma
iodixanol,Peripheral Arteriography
cefaclor,Streptococcal pneumonia
ciprofloxacin,Malignant otitis externa
ticarcillin disodium,Soft Tissue Infection
acetaminophen,Frail
vitamin A,Rural Communities
Gemcitabine-Docetaxel Regimen,Non-Small Cell Lung Carcinoma
isopropamide,Gastrointestinal Diseases
metergoline,Hyperprolactinemia
1-piperidinocyclohexanecarbonitrile,Hemorrhage
mafenide,Burn injury
Phencyclidine,Genus Saimiri
lamivudine,Decompensated cirrhosis of liver
piperacillin,Kidney Failure
interferon alfa-2a,"Hepatitis C, Chronic"
cimetidine,Kidney Failure
octreotide,Irritable Bowel Syndrome
dexamethasone,Lung Injury
quinidine,Premature ventricular contractions
rifaximin,Fibrosis
cisplatin,Ascites
kartogenin,Degenerative polyarthritis
ivermectin,Schistosomiasis
oxygen,Rheumatoid Arthritis
ascorbic acid,Cataract
carbutamide,"Diabetes Mellitus, Non-Insulin-Dependent"
oxygen,Diabetic foot ulcer
cobimetinib fumarate,melanoma
gemcitabine,"Adenocarcinoma, metastatic"
clonidine,Pheochromocytoma Diagnosis
Latrodectus mactans antivenin,Spider Bites
tadalafil,Nocturia
naproxen,Costochondritis
sildenafil,Pulmonary arterial hypertension
methylcellulose,Diarrhea
clopidogrel,ST segment elevation myocardial infarction
progesterone,Hot flushes
rutin,Malignant Neoplasms
gentian violet,"Candidiasis, Chronic Mucocutaneous"
benzoic acid,Dermatomyositis
amphotericin B,Fusariosis
thioctic acid,Stress
rezafungin,Invasive Candidiasis
prednisolone,Diffuse Large B-Cell Lymphoma
prasterone sodium sulfate,Adrenal gland hypofunction
indomethacin,Ankylosing Spondylitis
acetate,Hemorrhage
fluorometholone,Uveitis
glucosamine,Back Pain
prednisolone,Chronic active hepatitis
lisinopril anhydrous,Myocardial Infarction
calcium glubionate,Hypocalcemia
lenalidomide,Research Personnel
cholesterol,Senile Plaques
vasoactive intestinal peptide,Asthma
bacitracin zinc,"Enterocolitis, Pseudomembranous"
desipramine,Cocaine Abuse
glucose,Sedentary
copper,Cooley's anemia
vindesine,Neoplasms
oxacillin sodium,Urinary tract infection
tranexamic acid,Intertrochanteric Fractures
idarubicin,Philadelphia chromosome positive chronic myelogenous leukemia
ampicillin,Pneumonia
cisapride monohydrate,Constipation
triamcinolone acetonide,"Tuberculosis, Pulmonary"
prednisolone,Primary Biliary Cholangitis
terazosin hydrochloride,Urinary Retention
cefazolin,Human Bite
pterostilbene,Reperfusion Injury
nandrolone decanoate,Sedentary
etoricoxib,Rheumatoid Arthritis
felodipine,Systemic arterial pressure
imidazole,Helicobacter pylori
prednisone,Reticulosarcoma
iodoquinol,Amebiasis
hydrocortisone valerate,Facial Dermatoses
palbociclib,"Breast Cancer, Metastatic"
naftifine,Dermatophytosis
propofol,Hypoxia
penicillin G procaine,Erysipelothrix infection
pramlintide acetate,"Diabetes Mellitus, Insulin-Dependent"
hydrocodone,Rhinorrhea
cefoxitin,Lung Abscess
ferric gluconate,Iron deficiency anemia
netilmicin,Bacterial Infections
sotalol,Hyperthyroidism
ursodiol,Icterus
quetiapine,Mental disorders
terfenadine,Atopic rhinitis
cisplatin,Invasive Carcinoma
linezolid,Black hairy tongue
Challenge,Comorbidity
ciprofloxacin,"Tuberculosis, Pulmonary"
propranolol,Ascites
pravastatin,Myocardial Ischemia
risperidone,Neuroleptic Malignant Syndrome
vilaprisan,Uterine Fibroids
menthol,Sore Throat
venetoclax,Hematologic Neoplasms
clomipramine,Autistic Disorder
quinine sulfate,Babesiosis
vincristine,Nephroblastoma
salicylate,Acne Vulgaris
amiodarone,Atrial arrhythmia
cyclophosphamide,Ovarian failure
cefadroxil,Proteus Infections
dexamethasone,Necrosis
azathioprine,Dermatologic disorders
arginine,Hyperthyroidism
tramazoline,Nasal congestion (finding)
celecoxib,Major Depressive Disorder
ethanol,Aboriginals
ceftazidime anhydrous,Acinetobacter Infections
ceftizoxime,Klebsiella cystitis
estradiol,Atrophy of vulva
levocarnitine,Myocardial Ischemia
lysine acetate,Nutritional and Metabolic Diseases
edaravone,Acute hemorrhage
nicardipine,Myocardial Ischemia
bromodiphenhydramine hydrochloride,Urticaria
levosimendan,Ventricular Dysfunction
corticotropin,Uveitis
Fenretinide,Neoplasms
valsartan,"Kidney Failure, Chronic"
eugenol,Toothache
nitric oxide,Nodule
ixazomib,Refractory Plasma Cell Neoplasm
ofloxacin,Wound Infection
propantheline,Detrusor instability
cyclophosphamide,Carcinoma
guanidine,Lambert-Eaton Myasthenic Syndrome
colchicine,"Constipation, Chronic"
propofol,Liver carcinoma
prednisone,Diarrhea
tofacitinib,<12 months
trametinib,Plexiform Neurofibroma
ethanol,member
ethinyl estradiol,Atrophic Vaginitis
dihydroergotamine,Cluster Headache
terfenadine,Asthma
doxorubicin,Recurrent Carcinoma
pseudoephedrine,"Rhinitis, Vasomotor"
ibrutinib,Marginal zone lymphoma refractory
fentanyl,Constipation
lofexidine,Substance Withdrawal Syndrome
fluocinolone acetonide,Contact Dermatitis
osimertinib,Neoplasms
adenosine,Seizures
clindamycin,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)
Cytomegalovirus DNA Terminase Complex Inhibitor,Cytomegalovirus Infections
verapamil,Diabetic
dexamethasone isonicotinate,Collagen Diseases
morphine,Pan troglodytes
butenafine,Tinea
leptin,Malignant neoplasm of prostate
Rifamycin Antibacterial [EPC],Bacterial Infections
methylprednisolone,Contact Dermatitis
cefotaxime sodium,Streptococcal Infections
mannitol hexanitrate,Oliguria
cefoperazone sodium,Serratia Infections
chlorhexidine acetate,Gram-Positive Bacterial Infections
estrogens,Hemorrhage
cefepime,Abdominal Infection
nafcillin,Sepsis caused by Staphylococcus aureus
corticotropin,Diabetes Mellitus
dexamethasone,Vertigo
vinorelbine,Small cell carcinoma of lung
leucovorin,Refractory cancer
cromolyn sodium,"Mastocytosis, Systemic"
imatinib,Pulmonary Hypertension
everolimus,"Organ Transplant, Rejection Prophylaxis"
pimagedine,Diabetic
cortisone,Severe asthma
cyclophosphamide,Thymic Carcinoma
simvastatin,Chronic heart failure
sotorasib,KRAS NP_004976.2:p.G12C
pyrazinamide,Genus Bacillus
nicotine,Obesity
Corticosterone,Microtus
tobramycin,Bronchopulmonary infection
vitamin E,"Anemia, Sickle Cell"
fenofibrate,"Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL"
cysteine,Amyloidosis
prednimustine,"Lymphoma, Non-Hodgkin"
nialamide,Angina Pectoris
ofloxacin,Acute diarrhea
escitalopram,Asthma
Nalfurafine,Pruritus
kinase inhibitor,Advanced Hepatocellular Carcinoma
epoprostenol,Idiopathic pulmonary hypertension
sildenafil,Essential Hypertension
azathioprine,"Pneumonia, Interstitial"
omapatrilat,Congestive heart failure
warfarin,Normal renal function
gold,Malignant neoplasm of breast
PCH Regimen,HER2-positive carcinoma of breast
thalidomide,Callithrix jacchus jacchus
clarithromycin,Gastritis
Steroids,Disorder of eye
cyclosporine,Generalized pustular psoriasis
methyldopa,Hypertensive (finding)
ranitidine,Acute ulcer
ceftibuten,Infective otitis media
azatadine,Respiration Disorders
trilaciclib,Small cell lung cancer extensive stage
ticagrelor,"Myocardial Infarction, Prophylaxis"
halothane,Hypoxia
amphetamine saccharate,Narcolepsy
sildenafil,Cardiovascular Diseases
cholecalciferol,Depressive disorder
gentamicin,Intraabdominal Infection
cladribine,"Mastocytosis, Systemic"
tucatinib,HER2-positive carcinoma of breast
itraconazole,Hematologic Neoplasms
canakinumab,Familial Cold Autoinflammatory Syndrome
penicillin V calcium,Gram-Positive Bacterial Infections
Insulin,Fatty Liver
erlotinib,Adenocarcinoma
bevacizumab-awwb,Colorectal Neoplasms
potassium,Heart failure
dantrolene,Fever
cefprozil,Infective otitis media
lithium citrate,Depressive disorder
prednisolone,Cattle for beef production
vancomycin,Streptococcus pneumoniae
"1-phenyl-3,3-dimethyltriazene",Superficial basal cell carcinoma
vinblastine,Mammary Neoplasms
calcipotriene,Dermatologic disorders
hydroxyurea,Head and Neck Neoplasms
doxycycline calcium,Rocky Mountain Spotted Fever
favipiravir,Pneumonia
triamcinolone,Pericarditis
caffeine,Fatty Liver
capsaicin,Herpes zoster (disorder)
nesiritide,"Ventricular Dysfunction, Left"
triamcinolone,Neuritis
methylprednisolone,Neuropathy
prochlorperazine,Dementia
OK-432,Chylothorax
aspirin,melanoma
cefoxitin,Peritonitis
sulfasalazine,Malignant Neoplasms
testosterone,Postpartum Breast Pain
cantharidin,Condylomata Acuminata
theophylline,Cheyne-Stokes Respiration
hirudin,Diabetic Nephropathy
doxycycline,Pleural effusion (disorder)
estrogens,Testicular Feminization
ajmaline,Wolff-Parkinson-White Syndrome
benzocaine hydrochloride,Otitis Media
adenosine triphosphate,Wolff-Parkinson-White Syndrome
filgrastim-aafi,Neutropenia
tobramycin,Bacterial urinary infection
imipramine,Recurrent depression
carvedilol,Non-ischemic cardiomyopathy
pantothenic acid,Vitamin B Deficiency
risperidone,Irritable Mood
azathioprine,Myopathy
momelotinib,Anemia
flumethasone,Contact Dermatitis
minoxidil,Swelling
cinacalcet,Parathyroid Neoplasms
sodium nitrite,Toxic effect of cyanide
triethanolamine phosphate,Back Pain
lubiprostone,Chronic idiopathic constipation
minocycline,Urinary tract infection
sodium chloride,Corneal edema
methylprednisolone,"Pain, Postoperative"
captopril,Kidney Diseases
doxorubicin hydrochloride liposome,Mammary Neoplasms
eprosartan mesylate,Heart failure
isoproterenol,Fibrosis
flucytosine,Cystitis
hydrocortisone sodium phosphate,Contact Dermatitis
methotrexate,Early Rheumatoid Arthritis
oxytetracycline dihydrate,Psittacosis
prednisone,Acquired thrombocytopenia
genistein,Liver damage
zinc,Infertility
piroxicam,Rheumatism
methotrexate,Anemia
pramipexole dihydrochloride,Depressive disorder
lithium,Depressed mood
ivabradine,Chronic heart failure
cefotaxime,Enterobacteriaceae
"aluminum hydroxide, dried (USP)",Heartburn
terfenadine,Torsades de Pointes
fenofibrate,Fatty deposition
dimercaprol,Arsenic Poisoning
calcium,Hypocalcemia
enasidenib,Refractory acute myeloid leukemia
prednisone,Behcet Syndrome
tetracycline,Actinomycosis
prochlorperazine mesylate,Anxiety Disorders
ipragliflozin,"Diabetes Mellitus, Non-Insulin-Dependent"
pirbuterol,Bronchitis
cyclosporine,Impetigo herpetiformis
Malarone,"Malaria, Falciparum"
gentamicin sulfate,"Skin Diseases, Bacterial"
triamcinolone acetonide,Dermatologic disorders
cefaclor,"Bronchitis, Chronic"
cyclosporine,Eczema
fluocinonide,Scalp Dermatoses
prucalopride,Constipation
muramidase,Staphylococcus aureus
carvedilol,Ventricular Dysfunction
cisplatin,Genotoxicity
sirolimus,Chronic Lymphocytic Leukemia
ceftizoxime,Infection of bone
piperacillin-tazobactam combination,Hospital acquired pneumonia
chloramphenicol,Trachoma
ketanserin,Postoperative hypertension
"N,N-dimethylarginine",Kidney Diseases
methotrexate,Degenerative polyarthritis
calcium,"Lupus Erythematosus, Systemic"
lansoprazole,Multiple Endocrine Adenomas
insulin glargine,Hypoglycemia
dipyridamole,Obstruction
insulin glargine-aglr,"Diabetes Mellitus, Non-Insulin-Dependent"
methotrexate,Dermatologic disorders
Clodronate,Advanced cancer
bleomycin,Embryonal Carcinoma
Benadryl,Hypersensitivity
verapamil,"Cicatrix, Hypertrophic"
bortezomib,Carcinoma breast stage IV
hydroxyprogesterone acetate,Adenocarcinoma
doripenem,Cystic Fibrosis
sulindac,"Arthritis, Gouty"
metformin,Neuroinflammation
Tofranil,Enuresis
leucovorin,Pneumocystis Pneumonia Prophylaxis
Carbapenems,Pseudomonas
digoxin,Paroxysmal supraventricular tachycardia
epigallocatechin gallate,melanoma
idarubicin,Leukemia
epoprostenol,Purpura
povidone K90,Radiation injury
propofol,Laryngospasm
methacholine,Allergic asthma
hydrocortisone sodium succinate,Rheumatism
cortisone,Choroiditis
imatinib,Fibrosis
norethindrone acetate,Metrorrhagia
enrofloxacin,Respiration Disorders
ursodiol,Chronic active hepatitis
sonidegib,Skin Neoplasms
dog skin extract,Hypersensitivity
ethinyl estradiol,Oophorectomy
triamcinolone acetonide,Disorder of macula of retina
methotrexate,Multiple malignancy
"von Willebrand factor, human",Hemorrhage
Opioids,Deliveries by cesarean (finding)
prochlorperazine mesylate,Nausea
estrogens,Ovulatory
povidone (K-30) simethicone emulsion,Leg Ulcer
leuprolide,Idiopathic central precocious puberty
carbamazepine,Peripheral Neuropathy
ethanol,Clients
Temocapril,Myocarditis
diclofenac,Inhibition of Intraoperative Miosis
lactitol,Fibrosis
aztreonam,Septicemia
nafcillin,Meningitis
cyclosporine,Refractory anemias
elivaldogene autotemcel,Adrenoleukodystrophy
povidone,"Skin Diseases, Bacterial"
gonadorelin,Mesocricetus auratus
Growth Hormone,Growth Disorders
carbenicillin,Septicemia
gemfibrozil,Hyperlipoproteinemia Type III
chenodeoxycholic acid,Cholelithiasis
fosfomycin,Sepsis
bexarotene,Hypertriglyceridemia
leflunomide,Psoriatic Arthritis
sodium chloride,Dependence
fluoxetine,Youth
salicylic acid,Collagen Diseases
ceftazidime anhydrous,"Bone Diseases, Infectious"
vancomycin,Arthropathy associated with infection
praziquantel,Schistosoma hematobium infection
Insulin,Relative (related person)
colchicine,Biliary cirrhosis
dopamine,Cardiac Arrhythmia
Peplomycin,Squamous cell carcinoma
leuprolide,Endometriosis
simvastatin,Cardiovascular Diseases
fluocinolone,Leg Dermatoses
desloratadine,"Rhinitis, Allergic, Perennial"
glycyrrhizic acid,Riehl's melanosis
domperidone,Gastroparesis
dexchlorpheniramine tannate,Hay fever
metformin,"Diet, High-Fat"
dihydrocodeine,Chronic pain
sorafenib,Glioblastoma
octreotide,Reperfusion Injury
piribedil,Parkinsonian Disorders
bumetanide,Seizures
ethanol,Psoriasis
cisplatin,Mediastinal Germ Cell Tumor
metformin,Advanced cancer
hyoscyamine sulfate anhydrous,Rhinitis
agar,Enterococcus
nylidrin hydrochloride,Thromboangiitis Obliterans
"typhoid vaccine, inactivated",Typhoid Prophylaxis
flutamide,Pancreatic carcinoma
desoxycorticosterone,Hypertensive (finding)
atorvastatin calcium trihydrate,Hyperlipoproteinemias
methylene blue,Malaria
amoxicillin,Helicobacter Pylori Infection
Plastoquinone,Cyanobacteria
prednisolone / sulfacetamide sodium,Keratitis
dexchlorpheniramine,"Rhinitis, Allergic, Perennial"
thiamine,Pellagra
Aloe vera preparation,Psoriasis
paclitaxel,Pancreatic adenocarcinoma metastatic
vitamin E,Hypercholesterolemia
cisplatin,Liver carcinoma
"N,N-dimethylarginine",Diabetes Mellitus
chlorpromazine hydrochloride,Hiccough
risperidone,behavior disturbance
ciprofloxacin lactate,Urinary tract infection
prednisone,Cluster Headache
water,Gerbils
oxaliplatin,Pancreatic adenocarcinoma metastatic
mometasone furoate,Chronic small plaque psoriasis
doxycycline anhydrous,Trachoma
Steroids,Seborrheic dermatitis
resveratrol,Hypertrophy
cefixime anhydrous,Proteus Infections
epigallocatechin gallate,Inflammatory Bowel Diseases
triamcinolone acetonide,Exanthema
prednisolone,Ascites
sodium nitroprusside,Erectile dysfunction
bucillamine,Membranous glomerulonephritis
ketoconazole,Perianal fistula
acetylcysteine,Post-Traumatic Stress Disorder
docetaxel,Malignant neoplasm of lung
azithromycin,Ocular Toxoplasmosis
curcumin,Histopathology
sodium chloride,Wounds and Injuries
corticotropin,Collagen Diseases
crotamiton,Scabies
everolimus,Advanced Breast Carcinoma
ifosfamide,Malignant Childhood Neoplasm
baicalin,Reperfusion Injury
"insulin, regular, pork","Diabetes Mellitus, Non-Insulin-Dependent"
bacitracin / neomycin / polymyxin b,Keratitis
Taxol,Breast Cancer Model
Insulin,Acromegaly
"panthenol triacetate, (+)-",Vitamin B Deficiency
ibuprofen,Patent Ductus Arteriosus
tryptophan,Depressed mood
sodium ferulate,Diabetic Nephropathy
trazodone,Depressive disorder
bufalin,Malignant Neoplasms
ceftaroline fosamil,Pneumonia
sorbitol,Fibrosis
mometasone,Hand Dermatoses
anistreplase,Myocardial Infarction
itraconazole,Leishmaniasis
ethanol,Bromhidrosis
ergocalciferol,Periodontitis
melatonin,Periodontal Diseases
OK-432,Non-Small Cell Lung Carcinoma
hydrocortisone acetate,Corneal Abrasions
sitagliptin,"Diabetes Mellitus, Non-Insulin-Dependent"
dinoprost,Ruminants
daclatasvir,Infected
paclitaxel,"Glaucoma, Open-Angle"
diclofenac,Postoperative Ocular Inflammation
colistin,Chronic Infection
Sulfogaiacol,Nasal congestion (finding)
pilocarpine hydrochloride,Xerostomia caused by ionizing radiation
cilastatin,Peritonitis
minocycline,Acute gonococcal endometritis
Edotreotide,Neoplasms
silymarin,Fibrosis
tetracycline,Salmonella
cyclophosphamide,Nephritis
levobetaxolol hydrochloride,"Glaucoma, Open-Angle"
albendazole,Neurocysticercosis
gusperimus,Renal transplant rejection
Trimedoxime,Poisoning
chlorpromazine,Delirium
levetiracetam,New Daily Persistent Headache
Magrath Regimen,AIDS-Related Non-Hodgkin Lymphoma
phenobarbital,Essential Tremor
dexamethasone sodium phosphate,Thyroiditis
Insulin,abnormal glucose tolerance test
fluorouracil,Verrucous Lesion
hetrombopag,Autoimmune thrombocytopenia
almond allergenic extract,Hypersensitivity
angiotensin II,Aortic Valve Stenosis
gemcitabine,Hematologic Neoplasms
zinc,Psoriasis
tamoxifen,Non-Small Cell Lung Carcinoma
doxorubicin hydrochloride liposome,Bladder Neoplasm
N(4)-oleylcytosine arabinoside,Cerebrovascular accident
norfloxacin,Urinary tract infection caused by Klebsiella
prednisone,Membranous glomerulonephritis
albendazole,Cystic Echinococcosis
minocycline,Methicillin resistant Staphylococcus aureus infection
penicillin V potassium,Septicemia
aztreonam,Gonorrhea
spironolactone,Acne Vulgaris
deferoxamine,Spinal Cord Injuries
GTN,Chronic heart failure
methyl salicylate,Muscle Cramp
azithromycin,Haemophilus influenzae pneumonia
hyaluronidase-oysk,Extravasation of Diagnostic and Therapeutic Materials
dioxybenzone,Discoloration of skin
urea,Dermatologic disorders
methotrexate,Neurosarcoidosis
methadone,Opioid abuse
aspirin,"Dementia, Vascular"
isotretinoin,Neuroblastoma
magnesium sulfate,Incomplete passage of stool
clozapine,"Psychoses, Drug"
darifenacin,Urge Incontinence
nimodipine,Ischemia
levetiracetam,"Alcoholic Intoxication, Chronic"
metoprolol fumarate,Angina Pectoris
remdesivir,Comorbidity
Myochrysine,Rheumatoid Arthritis
Steroids,Keloid
lithium,Neutropenia
oxymetazoline,Common Cold
penicillin G benzathine,Pericarditis
triprolidine,Allergic Urticaria
lepirudin,"Angina, Unstable"
doxylamine,Allergic rhinitis (disorder)
busulfan,"Lymphoma, Non-Hodgkin"
water,Peeling of skin
racepinephrine hydrochloride,Bradycardia
leuprolide,Prostatic Hyperplasia
eprosartan,Diabetic Nephropathy
mycophenolate mofetil,Pemphigoid
quercetin,Endothelial dysfunction
pentoxifylline,"Diabetes Mellitus, Insulin-Dependent"
mifepristone,Cushing Syndrome
nicotine,Pre-Eclampsia
cilastatin / imipenem,Endocarditis
ketamine,Cancer Pain
nifedipine,Spasm
oxandrolone,Burn injury
pyrimethamine,"Toxoplasmosis, Congenital"
triamcinolone,Psoriatic Arthritis
azacitidine,Higher Risk Myelodysplastic Syndrome
cyclophosphamide,Renal Insufficiency
doxycycline monohydrate,Plague
diclofenac,Edema
tigecycline,Coinfection
tenofovir disoproxil,HIV Infections
trimethyloxamine,"Kidney Failure, Chronic"
valsartan,Microalbuminuria
remdesivir,Renal Insufficiency
acetylcholine,Compassion Fatigue
penicillin V calcium,Bacterial Infections
acetazolamide,Seizure Prevention (Seizure Prophylaxis)
bromocriptine,Malignant neoplasm of prostate
glucose,Reindeer
etoposide,Metastatic Carcinoma
flumethasone,Lichen Simplex Chronicus
terizidone,"Tuberculosis, Drug-Resistant"
chlorambucil,Uveitis
"thrombin, human",Hemorrhage
metformin,Malignant Neoplasms
Amenamevir,Herpes zoster (disorder)
doxepin hydrochloride,"Affective Disorders, Psychotic"
prednisolone sodium succinate,Mycosis Fungoides
risperidone,Challenging behavior
itraconazole,"Candidiasis, Vulvovaginal"
glycyrrhizic acid,"Hepatitis C, Chronic"
levetiracetam,Myoclonus
estriol,High-Risk Pregnancy
phenytoin sodium,Status Epilepticus
corticotropin,Depressed mood
trimeprazine tartrate,"Dermatitis, Atopic"
artemisinin,"Malaria, Cerebral"
doxylamine,"Rhinitis, Vasomotor"
imiquimod,"Lymphoma, T-Cell, Cutaneous"
sertraline,Vulvodynia
prednisone,"Lymphoma, T-Cell, Cutaneous"
hypochlorous acid,"Skin Diseases, Infectious"
calcitriol,Proteinuria
amitriptyline,Cyclic Vomiting Syndrome
azathioprine,Cogan's Syndrome
dexmedetomidine,Traumatic Brain Injury
trovafloxacin mesylate,Urethritis
Fluoropyrimidine,Locally Advanced Malignant Neoplasm
itraconazole,Cerebral aspergillosis
bupropion hydrobromide,Depressive disorder
hydrocortisone,Depressed mood
doxorubicin,Carcinomatosis
glucagon,Liver Cirrhosis
oxytocin,Primiparity
vutrisiran sodium,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED"
clofarabine,Hematologic Neoplasms
galantamine,Dementia
propofol,Propofol Infusion Syndrome
gemcitabine,Stage IV Nasopharyngeal Carcinoma
ascorbic acid,Viral myocarditis
"sodium phosphate, monobasic",Urinary tract infection
timolol maleate,Angina Pectoris
ethanol,Obesity
vinblastine,Kaposi Sarcoma
interferon alfacon-1,melanoma
"N,N-dimethylarginine",Epilepsy
bisantrene,Non-Small Cell Lung Carcinoma
cortisone acetate,Thyroiditis
vericiguat,Heart failure
norepinephrine,Fibrosis
epoprostenol,Vascular Diseases
"7,3'-dihydroxy-4'-methoxyisoflavone",Reperfusion Injury
moxifloxacin,Bacterial Infections
morphine,Diarrhea
ampicillin,Infective otitis media
sildenafil,Fibrosis
triprolidine,Urticaria
triamcinolone hexacetonide,Chronic discoid lupus erythematosus
captopril,"Hypertension, Renovascular"
dexmedetomidine,Sleeplessness
gentamicin,Vertigo
topiramate,Transformed migraine
succinylcholine,Hyperkalemia
praziquantel,Hematuria
silicon,Cadmium poisoning
Glycopeptide antibiotic,Bacterial Infections
quercetin,Functional disorder
mitoxantrone,Neuromyelitis Optica
thioctic acid,Functional disorder
aspirin,Sinus rhythm
dexamethasone acetate anhydrous,Vomiting
streptomycin sulfate,Plague
calcitonin,Malignant neoplasm of lung
tetracycline phosphate complex,Cholera
mycophenolic acid,Rejection Prophylaxis
cefuroxime,Rhinoscleroma
ascorbic acid,Gulo
disulfiram,Neoplasms
Challenge,Liver diseases
favipiravir,Influenza
"interferon alfa-3n,human leukocyte derived",Sezary Syndrome
valrubicin,Bladder Neoplasm
prasterone,Malignant neoplasm of breast
thalidomide,partial response
timolol anhydrous,Myocardial Infarction
ospemifene,Menopause
FAPI-04,Neoplasms
cyclosporine,Epidermolysis Bullosa Acquisita
cyclophosphamide anhydrous,Chronic Lymphocytic Leukemia
hydrocodone,"Pain, Postoperative"
mefloquine,Plasmodium falciparum infection
Trimethoprim-Sulfamethoxazole Combination,Shigella
Mirena,Hemorrhage
"alpha-tocopherol succinate, DL-",Vitamin E Deficiency
naltrexone hydrochloride,Opioid-Related Disorders
aripiprazole,Gilles de la Tourette syndrome
miconazole,Fungal keratitis
buprenorphine,Drug Overdose
cyproheptadine,"Rhinitis, Allergic, Perennial"
ribavirin,Hemophiliacs
levothyroxine,Endemic goiter
leuprolide mesylate,Malignant neoplasm of prostate
foscarnet,"herpesvirus 6, human"
boric acid,Sunburn
caplacizumab-yhdp,"Thrombotic thrombocytopenic purpura, acquired"
solifenacin,Neurogenic detrusor overactivity
gastrin 17,Duodenal Ulcer
remacemide,Epilepsy
progesterone,Macaca fascicularis
heliox,Bronchiolitis
aspirin,Acute Lung Injury
ceftriaxone,Biliary Sludge
simvastatin,Psoriasis
valsartan,"Diabetes Mellitus, Non-Insulin-Dependent"
"iron,peptonized","Pregnancy Complications, Hematologic"
arginine,Microvascular Angina
paclitaxel,Liver and Intrahepatic Biliary Tract Carcinoma
sulfisoxazole,Chlamydia Infections
calcitriol,Chronic Kidney Diseases
paclitaxel,Malignant neoplasm of nasopharynx
diclofenac,Migraine Disorders
curcumin,Pneumonia
colestimide,"Diabetes Mellitus, Non-Insulin-Dependent"
"antihemophilic factor, human recombinant residues 743-1636 deleted",Hemophilia A
sodium salicylate,Seborrheic dermatitis
oxytetracycline,"Tuberculosis, Pulmonary"
azithromycin,Acute pneumonia
methylphenidate,Enuresis
ciprofloxacin hydrochloride,Urinary tract infection
haloperidol,"Hypothermia, natural"
oxytocin,Diabetic
otilonium bromide,Irritable Bowel Syndrome
pseudoephedrine,primary enuresis
Arimidex,Advanced cancer
cyclophosphamide,Gestational Trophoblastic Neoplasms
acyclovir,"Herpes Simplex, Suppression"
PEB Regimen,Malignant Testicular Germ Cell Tumor
azacitidine,Therapy-related myelodysplastic syndrome
sunitinib,Conventional (Clear Cell) Renal Cell Carcinoma
dexamethasone,Septicemia
